Width,Color,Steering_angle_difference
2.00,0.00,-1.26
2.00,1.00,-1.31
2.00,2.00,-1.18
2.00,3.00,-1.18
2.00,4.00,-1.42
2.00,5.00,-1.09
2.00,6.00,-0.98
2.00,7.00,-1.08
2.00,8.00,-0.98
2.00,9.00,-1.11
2.00,10.00,-1.11
2.00,11.00,-1.37
2.00,12.00,-1.51
2.00,13.00,-1.19
2.00,14.00,-1.30
2.00,15.00,-1.22
2.00,16.00,-1.13
2.00,17.00,-0.99
2.00,18.00,-1.26
2.00,19.00,-1.10
2.00,20.00,-0.90
2.00,21.00,-1.10
2.00,22.00,-0.99
2.00,23.00,-0.98
2.00,24.00,-0.89
2.00,25.00,-1.09
2.00,26.00,-0.76
2.00,27.00,-0.72
2.00,28.00,-0.96
2.00,29.00,-0.88
2.00,30.00,-0.72
2.00,31.00,-0.60
2.00,32.00,-0.94
2.00,33.00,-0.60
2.00,34.00,-1.01
2.00,35.00,-0.73
2.00,36.00,-0.85
2.00,37.00,-0.45
2.00,38.00,-0.62
2.00,39.00,-0.69
2.00,40.00,-0.97
2.00,41.00,-0.64
2.00,42.00,-0.90
2.00,43.00,-0.18
2.00,44.00,-0.51
2.00,45.00,-0.65
2.00,46.00,-0.91
2.00,47.00,-0.52
2.00,48.00,-0.63
2.00,49.00,0.01
2.00,50.00,-0.64
2.00,51.00,-0.54
2.00,52.00,-0.70
2.00,53.00,-0.48
2.00,54.00,-0.01
2.00,55.00,-0.36
2.00,56.00,-0.37
2.00,57.00,-0.88
2.00,58.00,-0.37
2.00,59.00,-0.79
2.00,60.00,-0.57
2.00,61.00,-0.40
2.00,62.00,-0.58
2.00,63.00,-0.43
2.00,64.00,-0.48
2.00,65.00,-0.10
2.00,66.00,-0.49
2.00,67.00,-0.29
2.00,68.00,0.00
2.00,69.00,-0.26
2.00,70.00,-0.30
2.00,71.00,0.06
2.00,72.00,-0.12
2.00,73.00,0.13
2.00,74.00,-0.04
2.00,75.00,-0.03
2.00,76.00,-0.45
2.00,77.00,-0.16
2.00,78.00,0.24
2.00,79.00,0.11
2.00,80.00,0.16
2.00,81.00,-0.05
2.00,82.00,0.20
2.00,83.00,-0.13
2.00,84.00,-0.40
2.00,85.00,-0.01
2.00,86.00,-0.25
2.00,87.00,0.12
2.00,88.00,0.11
2.00,89.00,-0.02
2.00,90.00,0.38
2.00,91.00,0.04
2.00,92.00,0.50
2.00,93.00,-0.11
2.00,94.00,0.55
2.00,95.00,0.24
2.00,96.00,0.51
2.00,97.00,0.36
2.00,98.00,0.37
2.00,99.00,0.15
2.00,100.00,0.43
2.00,101.00,0.28
2.00,102.00,0.33
2.00,103.00,1.10
2.00,104.00,0.51
2.00,105.00,0.49
2.00,106.00,0.62
2.00,107.00,0.56
2.00,108.00,0.52
2.00,109.00,0.60
2.00,110.00,0.63
2.00,111.00,0.80
2.00,112.00,0.36
2.00,113.00,0.78
2.00,114.00,0.25
2.00,115.00,1.05
2.00,116.00,0.56
2.00,117.00,0.75
2.00,118.00,0.76
2.00,119.00,0.94
2.00,120.00,1.54
2.00,121.00,0.60
2.00,122.00,0.92
2.00,123.00,0.55
2.00,124.00,0.86
2.00,125.00,0.59
2.00,126.00,0.74
2.00,127.00,1.01
2.00,128.00,0.83
2.00,129.00,1.07
2.00,130.00,0.74
2.00,131.00,0.87
2.00,132.00,1.03
2.00,133.00,1.06
2.00,134.00,1.07
2.00,135.00,0.80
2.00,136.00,0.93
2.00,137.00,1.21
2.00,138.00,0.89
2.00,139.00,1.09
2.00,140.00,1.18
2.00,141.00,1.12
2.00,142.00,1.25
2.00,143.00,1.11
2.00,144.00,1.25
2.00,145.00,1.03
